,Wikipedia Movie ID,Freebase Movie ID,Movie name,Movie release date,Movie runtime,Movie languages,Movie countries,Movie genres,TMDB_id,TMDB_original_language,TMDB_original_title,TMDB_overview,TMDB_popularity,TMDB_release_date,TMDB_title,TMDB_vote_average,TMDB_vote_count,TMDB_runtime,TMDB_budget,TMDB_IMDB_id,TMDB_genres,Movie box office revenue,Movie release year,log Movie box office revenue,log Movie release year,Movie genres cleaned,Movie genres list,Movie languages cleaned,Movie languages list,Movie countries cleaned,Movie countries list
0,975900,/m/03vyhn,Ghosts of Mars,2001-08-24,98.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/03k9fj"": ""Adventure"", ""/m/0fdjb"": ""Supernatural"", ""/m/02kdv5l"": ""Action"", ""/m/09zvmj"": ""Space western""}",10016.0,en,Ghosts of Mars,"In 2176, a Martian police unit is sent to pick up a highly dangerous criminal at a remote mining post. Upon arrival, the cops find the post deserted and something far more dangerous than any criminal — the original inhabitants of Mars, hellbent on getting their planet back.",17.28,2001-08-24,Ghosts of Mars,5.123,980.0,98.0,28000000.0,tt0228333,"Action, Horror, Science Fiction",14010832.0,2001.0,16.45534130270265,7.601402334583733,"Thriller, Science Fiction, Horror, Adventure, Supernatural, Action, Space western","['Thriller', 'Science Fiction', 'Horror', 'Adventure', 'Supernatural', 'Action', 'Space western']",English,['English'],United States of America,['United States of America']
1,3196793,/m/08yl5d,Getting Away with Murder: The JonBenét Ramsey Mystery,2000-02-16,95.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02n4kr"": ""Mystery"", ""/m/03bxz7"": ""Biographical film"", ""/m/07s9rl0"": ""Drama"", ""/m/0hj3n01"": ""Crime Drama""}",784579.0,en,Getting Away with Murder: The JonBenét Ramsey Mystery,"Dramatization of the story behind the murder of young JonBenet Ramsey. The program provides a concise view of the events surrounding the murder case, as pieced together by detectives and reporters. While the truth about the murder remains a mystery, the program presents the facts of the case, as well as multiple scenarios of the crime and the theories about the identity of the killer(s).",0.75,2000-02-16,Getting Away with Murder: The JonBenét Ramsey Mystery,8.0,1.0,60.0,0.0,tt0245916,"Drama, Crime",,2000.0,,7.600902459542082,"Mystery, Biographical film, Drama, Crime Drama","['Mystery', 'Biographical film', 'Drama', 'Crime Drama']",English,['English'],United States of America,['United States of America']
2,28463795,/m/0crgdbh,Brun bitter,1988,83.0,"{""/m/05f_3"": ""Norwegian Language""}","{""/m/05b4w"": ""Norway""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/07s9rl0"": ""Drama""}",396302.0,no,Brun bitter,"A stolen bicycle case ends with drunken detective/lawyer Alexander 'Lex' Larsen having to clear Vigdis Wang of a murder charge.  Unofficially based on the book Din, til døden, by Gunnar Staalesen.",0.6,1988-11-17,Hair of the Dog,0.0,0.0,83.0,0.0,tt0094806,"Mystery, Crime, Drama",,1988.0,,7.59488438721652,"Crime Fiction, Drama","['Crime Fiction', 'Drama']",Norwegian,['Norwegian'],Norway,['Norway']
3,9363483,/m/0285_cd,White Of The Eye,1987,110.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/01jfsb"": ""Thriller"", ""/m/0glj9q"": ""Erotic thriller"", ""/m/09blyk"": ""Psychological thriller""}",33592.0,en,White of the Eye,"In a wealthy and isolated desert community, a sound expert is targeted as the prime suspect of a series of brutal murders of local suburban housewives who were attacked and mutilated in their homes. As he desperately tries to prove his innocence, his wife starts to uncover startling truths...",7.336,1987-06-19,White of the Eye,5.742,64.0,111.0,0.0,tt0094320,"Horror, Thriller",,1987.0,,7.594381242551817,"Thriller, Erotic thriller, Psychological thriller","['Thriller', 'Erotic thriller', 'Psychological thriller']",English,['English'],United Kingdom,['United Kingdom']
4,261236,/m/01mrr1,A Woman in Flames,1983,106.0,"{""/m/04306rv"": ""German Language""}","{""/m/0345h"": ""Germany""}","{""/m/07s9rl0"": ""Drama""}",11192.0,de,Die flambierte Frau,"Eva, an upper-class housewife, frustratedly leaves her arrogant husband and decides to enter the call girl business. She lets Yvonne, a prostitute, teach her the basics and both set out for prey together, until Eva starts an affair with Chris, who turns out to be a call boy, as well. Consequently, she moves into his penthouse, large enough for both to offer their services separately.",2.397,1983-05-11,A Woman in Flames,5.3,13.0,106.0,0.0,tt0083949,Drama,,1983.0,,7.592366128519796,Drama,['Drama'],German,['German'],Germany,['Germany']
5,13696889,/m/03cfc81,The Gangsters,1913-05-29,35.0,"{""/m/06ppq"": ""Silent film"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02hmvc"": ""Short Film"", ""/m/06ppq"": ""Silent film"", ""/m/0219x_"": ""Indie"", ""/m/01g6gs"": ""Black-and-white"", ""/m/01z4y"": ""Comedy""}",263493.0,en,The Gangsters,"An amusing burlesque of gang fighters. The police go after them, one by one, and each guardian of the peace is caught and despoiled of his clothing and compelled to return to the station.",0.991,1913-05-29,The Gangsters,6.0,1.0,35.0,0.0,tt0002894,Comedy,,1913.0,,7.556427969440253,"Short Film, Silent film, Indie, Black-and-white, Comedy","['Short Film', 'Silent film', 'Indie', 'Black-and-white', 'Comedy']","Silent film, English","['Silent film', 'English']",United States of America,['United States of America']
6,18998739,/m/04jcqvw,The Sorcerer's Apprentice,2002,86.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0hzlz"": ""South Africa""}","{""/m/0hqxf"": ""Family Film"", ""/m/01hmnh"": ""Fantasy"", ""/m/03k9fj"": ""Adventure"", ""/m/03q4nz"": ""World cinema""}",50944.0,en,The Sorcerer's Apprentice,"Every hundred years, the evil sorceress Morgana returns to claim Fingall's talisman from Merlin, with which she intends to destroy the world. For the last fourteen hundred years she has failed... now she intends to conquer all. Young Ben Clark moves with his parents to a new town, where he befriends his elderly magician neighbor, Milner. Ben has a natural talent for magic and wants to learn all that he can from this old man. Ben carries the same scar as the original staff-bearer 1,400 years before. Both Morgana and Milner, who is revealed to be Merlin, see this as a sign that this time, the battle between good and evil will be stronger and harder than ever. Ben must make his own choice between good and evil as he is drawn into a battle and must draw on his own spirit and magic to decide which path to follow and hence, the fate of the world as we know it.",3.44,2002-04-12,The Sorcerer's Apprentice,4.6,11.0,86.0,0.0,tt0120166,"Adventure, Family, Fantasy",,2002.0,,7.601901959875166,"Family Film, Fantasy, Adventure, World cinema","['Family Film', 'Fantasy', 'Adventure', 'World cinema']",English,['English'],South Africa,['South Africa']
7,10408933,/m/02qc0j7,Alexander's Ragtime Band,1938-08-16,106.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/04t36"": ""Musical"", ""/m/01z4y"": ""Comedy"", ""/m/01g6gs"": ""Black-and-white""}",43839.0,en,Alexander's Ragtime Band,"Classical violinist, Roger Grant disappoints his family and teacher when he organizes a jazz band, but he and the band become successful. Roger falls in love with the band's singer, Stella, but his reluctance to lose her leads him to thwart her efforts to become a solo star. When the World War separates them in 1917, Stella marries Roger's best friend and, when Roger returns home after the war, an important concert at Carnegie Hall brings the corners of the romantic triangle together.",2.307,1938-05-24,Alexander's Ragtime Band,6.6,23.0,106.0,2000000.0,tt0029852,"Drama, Music, Romance",3600000.0,1938.0,15.096444403426338,7.569411792450712,"Musical, Comedy, Black-and-white","['Musical', 'Comedy', 'Black-and-white']",English,['English'],United States of America,['United States of America']
8,9997961,/m/06_y2j7,Contigo y aquí,1974,,"{""/m/06nm1"": ""Spanish Language""}","{""/m/0jgd"": ""Argentina""}","{""/m/04t36"": ""Musical"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy""}",359273.0,es,Contigo y aquí,,0.6,1974-09-04,Contigo y aquí,0.0,0.0,0.0,0.0,tt0200545,"Comedy, Drama, Music",,1974.0,,7.587817219993427,"Musical, Drama, Comedy","['Musical', 'Drama', 'Comedy']",Spanish,['Spanish'],Argentina,['Argentina']
9,2345652,/m/075f66,City of the Dead,1960,76.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/03npn"": ""Horror"", ""/m/0fdjb"": ""Supernatural""}",39890.0,en,The City of the Dead,"A young college student arrives in a sleepy Massachusetts town to research witchcraft; during her stay at an eerie inn, she discovers a startling secret about the town and its inhabitants.",9.723,1960-09-09,The City of the Dead,6.48,133.0,78.0,0.0,tt0053719,"Mystery, Horror",,1960.0,,7.580699752224563,"Horror, Supernatural","['Horror', 'Supernatural']",English,['English'],United Kingdom,['United Kingdom']
