,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19,Cluster 20,Cluster 21,Cluster 22,Cluster 23,Cluster 24,Cluster 25,Cluster 26,Cluster 27,Cluster 28,Cluster 29
0,,,,,,,,,,,,,,,The Hunger Games,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,Narasimham,,,,,,,,,,,,,,,
2,,,,,,,,,The Lemon Drop Kid,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,A Cry in the Dark,,,,,,
4,,,,,,,,,,,,,,,Dark Water,,,,,,,,,,,,,,,
5,,,Up and Down,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,House Party 2,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,Samson and Delilah,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,The Deep End of the Ocean,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,Pieces,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,River of No Return,,,,,,,
11,,,,,,,,,,,,,,,Red Cliff,,,,,,,,,,,,,,,
12,,,,,,"The Good, the Bad, the Weird",,,,,,,,,,,,,,,,,,,,,,,,
13,,,Eastern Promises,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,No Entry,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,Jaws: The Revenge,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,About Schmidt,,,,,,,,,,,,,
17,,,,,,,,,Liar Liar,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,"Hush… Hush, Sweet Charlotte",,,,,,
19,,,,,,,,,,,,,,The Incredibly True Adventure of Two Girls in Love,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,Day Watch,,,,,,,,,,,
21,,,,,,,,,,,,,,,Sophie's Choice,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,L: Change the World,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,American Dreamz,
24,,,,Anything Else,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,Twelfth Night: Or What You Will,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,Deepstar Six,,,,,,,,,,,,,,,,,
27,,,,,,,,,Il Postino,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,Two Evil Eyes,,,,,,,,,,,
29,,,,,,,,,,,,,,,Horton Hears a Who!,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,Folks!,,,,,,,,,,,
31,,,,,,,,,,,,,,,Wait Until Dark,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,Darkness,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Munich,
34,,,,,,,,,"Love, Wedding, Marriage",,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,Easy Money,,,,,,,,,,,,,
36,,,,,,,,,,,,Land of the Lost,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,The Santa Clause 3: The Escape Clause,,,
38,,,,,,,The Evil Dead,,,,,,,,,,,,,,,,,,,,,,,
39,,,Mighty Aphrodite,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,That Old Feeling,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,Friday the 13th Part 2,,,,,,
42,,,,Noises Off...,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,An Eye for an Eye,,,,
44,,,,Stage Beauty,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,Bad Boys,,,,,,
46,,,,,,,,,,,,,,,Strange Brew,,,,,,,,,,,,,,,
47,,,,Jacknife,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,The Lizzie McGuire Movie,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,Farewell My Concubine,,,,,,,,,,,,,,,
